id;message;association_to_offender;time;case_total_reports;allied_report_count;enemy_report_count;most_common_report_reason;chatlog_id;champion_name;label
1088;gj;offender;00:31:16;6.0;1.0;1.0;Negative Attitude;10003.0;Katarina;0
1089;took*;enemy;00:31:18;6.0;1.0;1.0;Negative Attitude;10003.0;Ashe;0
1090;we can win;offender;00:31:19;6.0;1.0;1.0;Negative Attitude;10003.0;Katarina;0
1091;ched up omg amumu 0 gank top gare have 12 gank is normal me retard !!;enemy;00:31:21;6.0;1.0;1.0;Negative Attitude;10003.0;Riven;1
1092;garen*;enemy;00:31:29;6.0;1.0;1.0;Negative Attitude;10003.0;Riven;0
1093;OMG LAG;enemy;00:31:36;6.0;1.0;1.0;Negative Attitude;10003.0;Nidalee;0
1094;ahaha;ally;00:31:36;6.0;1.0;1.0;Negative Attitude;10003.0;Garen;0
1095;omg garen;offender;00:31:37;6.0;1.0;1.0;Negative Attitude;10003.0;Katarina;0
1096;wtf ?;offender;00:31:39;6.0;1.0;1.0;Negative Attitude;10003.0;Katarina;0
1097;";)";ally;00:31:42;6;1;1;Negative Attitude;10003;Garen;2
1098;wtf;enemy;00:31:42;6.0;1.0;1.0;Negative Attitude;10003.0;Ashe;0
1099;STUPID FUCKING LAG;enemy;00:31:44;6.0;1.0;1.0;Negative Attitude;10003.0;Nidalee;0
1100;fail;enemy;00:31:45;6.0;1.0;1.0;Negative Attitude;10003.0;Ashe;0
1101;yes BIG LAG !!!!;enemy;00:31:45;6.0;1.0;1.0;Negative Attitude;10003.0;Amumu;0
1102;ye;enemy;00:31:53;6.0;1.0;1.0;Negative Attitude;10003.0;Ashe;0
1103;same here;enemy;00:31:55;6.0;1.0;1.0;Negative Attitude;10003.0;Ashe;0
1104;the tower is save;ally;00:32:04;6.0;1.0;1.0;Negative Attitude;10003.0;Garen;0
1105;1vs1 nida ?;offender;00:32:10;6.0;1.0;1.0;Negative Attitude;10003.0;Katarina;0
1106;RIOT;enemy;00:32:22;6.0;1.0;1.0;Negative Attitude;10003.0;Nidalee;0
1107;STOP LAGING;enemy;00:32:26;6.0;1.0;1.0;Negative Attitude;10003.0;Nidalee;0
1108;look the towe;ally;00:32:27;6.0;1.0;1.0;Negative Attitude;10003.0;Varus;0
1109;it is save;ally;00:32:36;6.0;1.0;1.0;Negative Attitude;10003.0;Garen;0
1110;FK;enemy;00:32:37;6.0;1.0;1.0;Negative Attitude;10003.0;Amumu;0
1111;RIOT -.-;enemy;00:32:41;6.0;1.0;1.0;Negative Attitude;10003.0;Amumu;0
1112;ashe omg;enemy;00:33:29;6.0;1.0;1.0;Negative Attitude;10003.0;Nidalee;0
1113;luck =);offender;00:33:32;6.0;1.0;1.0;Negative Attitude;10003.0;Katarina;0
1114;what?;enemy;00:33:36;6.0;1.0;1.0;Negative Attitude;10003.0;Ashe;0
1115;faster next time;enemy;00:33:41;6.0;1.0;1.0;Negative Attitude;10003.0;Nidalee;0
1116;ty;ally;00:34:05;6.0;1.0;1.0;Negative Attitude;10003.0;Garen;0
1117;motherfucekrr;ally;00:34:10;6.0;1.0;1.0;Negative Attitude;10003.0;Garen;1
1118;gj;offender;00:34:11;6.0;1.0;1.0;Negative Attitude;10003.0;Katarina;0
1119;all go baron;ally;00:34:29;6.0;1.0;1.0;Negative Attitude;10003.0;Garen;0
1120;ok;enemy;00:34:30;6.0;1.0;1.0;Negative Attitude;10003.0;Ashe;0
1121;baro;ally;00:34:31;6.0;1.0;1.0;Negative Attitude;10003.0;Garen;0
1122;n;ally;00:34:33;6.0;1.0;1.0;Negative Attitude;10003.0;Garen;0
1123;wait for me;ally;00:34:46;6.0;1.0;1.0;Negative Attitude;10003.0;Garen;0
1124;omg;ally;00:34:47;6.0;1.0;1.0;Negative Attitude;10003.0;Garen;0
1125;^gj;offender;00:35:27;6.0;1.0;1.0;Negative Attitude;10003.0;Katarina;0
1126;gj;ally;00:35:27;6.0;1.0;1.0;Negative Attitude;10003.0;Garen;0
1127;im so OP;ally;00:35:32;6.0;1.0;1.0;Negative Attitude;10003.0;Udyr;0
1128;omg lag Oo;enemy;00:35:42;6.0;1.0;1.0;Negative Attitude;10003.0;Riven;0
1129;they got baron;enemy;00:36:04;6.0;1.0;1.0;Negative Attitude;10003.0;Nidalee;0
1130;ty nida :D;enemy;00:36:15;6.0;1.0;1.0;Negative Attitude;10003.0;Ashe;0
1131;fuck noob;offender;00:36:21;6.0;1.0;1.0;Negative Attitude;10003.0;Katarina;1
1132;back;ally;00:36:56;6.0;1.0;1.0;Negative Attitude;10003.0;Garen;0
1133;sry;enemy;00:36:59;6.0;1.0;1.0;Negative Attitude;10003.0;Ashe;0
1134;omg ashe;enemy;00:37:00;6.0;1.0;1.0;Negative Attitude;10003.0;Riven;0
1135;FUCKING ASHE;enemy;00:37:01;6.0;1.0;1.0;Negative Attitude;10003.0;Amumu;1
1136;:(;enemy;00:37:02;6.0;1.0;1.0;Negative Attitude;10003.0;Riven;0
1137;GG;ally;00:37:02;6.0;1.0;1.0;Negative Attitude;10003.0;Udyr;0
1138;GO HOME AND PLAY NROMAL NOOB;enemy;00:37:08;6.0;1.0;1.0;Negative Attitude;10003.0;Amumu;1
1139;gjh varus;offender;00:37:11;6.0;1.0;1.0;Negative Attitude;10003.0;Katarina;0
1140;hehe;ally;00:37:24;6.0;1.0;1.0;Negative Attitude;10003.0;Garen;0
1141;wow i hate ashe;ally;00:37:43;6.0;1.0;1.0;Negative Attitude;10003.0;Garen;0
1142;i'll def;enemy;00:38:00;6.0;1.0;1.0;Negative Attitude;10003.0;Nidalee;0
1143;i destroy top and bot, right and left now mid;ally;00:38:00;6.0;1.0;1.0;Negative Attitude;10003.0;Varus;0
1144;good 5vs1;offender;00:38:36;6.0;1.0;1.0;Negative Attitude;10003.0;Katarina;0
1145;la base sa :);enemy;00:38:47;6;1;1;Negative Attitude;10003;Riven;2
1146;jvien avec la mienne maintenent alor xD;offender;00:39:02;6;1;1;Negative Attitude;10003;Katarina;2
1147;i dead for you;enemy;00:39:29;6.0;1.0;1.0;Negative Attitude;10003.0;Riven;0
1148;omg varus;ally;00:40:04;6.0;1.0;1.0;Negative Attitude;10003.0;Garen;0
1149;stop farm;ally;00:40:06;6.0;1.0;1.0;Negative Attitude;10003.0;Garen;0
1150;thats my farm;ally;00:40:10;6.0;1.0;1.0;Negative Attitude;10003.0;Garen;0
1151;reproted;ally;00:40:11;6.0;1.0;1.0;Negative Attitude;10003.0;Garen;0
1152;fuckkkkkkk come 1vs1 full life;offender;00:40:47;6.0;1.0;1.0;Negative Attitude;10003.0;Katarina;0
1153;nice;enemy;00:41:19;6.0;1.0;1.0;Negative Attitude;10003.0;Lux;0
1154;lol;ally;00:41:33;6.0;1.0;1.0;Negative Attitude;10003.0;Udyr;0
1155;omg udyr;offender;00:41:33;6.0;1.0;1.0;Negative Attitude;10003.0;Katarina;0
1156;full build!!! :D;ally;00:41:37;6.0;1.0;1.0;Negative Attitude;10003.0;Garen;0
1157;wtf shut Up;ally;00:41:40;6.0;1.0;1.0;Negative Attitude;10003.0;Udyr;1
1158;i se op;ally;00:41:53;6;1;1;Negative Attitude;10003;Garen;2
1159;kaza you suck so hard;ally;00:41:56;6.0;1.0;1.0;Negative Attitude;10003.0;Udyr;1
1160;what do you if we let them come;ally;00:42:00;6.0;1.0;1.0;Negative Attitude;10003.0;Varus;0
1161;kata feeding;ally;00:42:02;6.0;1.0;1.0;Negative Attitude;10003.0;Garen;0
1162;wait us;enemy;00:42:06;6.0;1.0;1.0;Negative Attitude;10003.0;Lux;0
1163;16 deaths;ally;00:42:13;6.0;1.0;1.0;Negative Attitude;10003.0;Garen;0
1164;g;ally;00:42:14;6.0;1.0;1.0;Negative Attitude;10003.0;Garen;0
1165;riven stay spawn;enemy;00:42:14;6.0;1.0;1.0;Negative Attitude;10003.0;Nidalee;0
1166;g;ally;00:42:15;6.0;1.0;1.0;Negative Attitude;10003.0;Garen;0
1167;why not let them come ???;ally;00:42:15;6.0;1.0;1.0;Negative Attitude;10003.0;Varus;0
1168;me reste def ?;enemy;00:42:23;6;1;1;Negative Attitude;10003;Riven;2
1169;yes;enemy;00:42:27;6.0;1.0;1.0;Negative Attitude;10003.0;Nidalee;0
1170;ok;enemy;00:42:30;6.0;1.0;1.0;Negative Attitude;10003.0;Riven;0
1171;omg nooob amumu;offender;00:42:40;6.0;1.0;1.0;Negative Attitude;10003.0;Katarina;1
1172;xD baby :*;enemy;00:42:52;6.0;1.0;1.0;Negative Attitude;10003.0;Amumu;0
1173;loool;ally;00:43:18;6.0;1.0;1.0;Negative Attitude;10003.0;Garen;0
1174;pls report my team;ally;00:43:23;6.0;1.0;1.0;Negative Attitude;10003.0;Udyr;0
1175;report you ks kill;offender;00:43:31;6.0;1.0;1.0;Negative Attitude;10003.0;Katarina;1
1176;this kata feeing;ally;00:43:36;6.0;1.0;1.0;Negative Attitude;10003.0;Garen;1
1177;too fast =(;enemy;00:43:44;6.0;1.0;1.0;Negative Attitude;10003.0;Ashe;0
1178;17 deaths reprot in feeding;ally;00:43:46;6.0;1.0;1.0;Negative Attitude;10003.0;Garen;1
1179;yes;offender;00:43:50;6.0;1.0;1.0;Negative Attitude;10003.0;Katarina;0
1180;fuck you feed;ally;00:44:00;6.0;1.0;1.0;Negative Attitude;10003.0;Garen;1
1181;i have 17 kills XD;ally;00:44:01;6.0;1.0;1.0;Negative Attitude;10003.0;Udyr;0
1182;udyr pls report kata;ally;00:44:08;6.0;1.0;1.0;Negative Attitude;10003.0;Garen;0
1183;ok;ally;00:44:14;6.0;1.0;1.0;Negative Attitude;10003.0;Udyr;0
1184;gjh;offender;00:44:15;6.0;1.0;1.0;Negative Attitude;10003.0;Katarina;0
1185;shit;enemy;00:44:15;6.0;1.0;1.0;Negative Attitude;10003.0;Nidalee;0
1186;ty;ally;00:44:23;6.0;1.0;1.0;Negative Attitude;10003.0;Garen;0
1187;all def;ally;00:44:26;6.0;1.0;1.0;Negative Attitude;10003.0;Udyr;0
1188;all back;enemy;00:44:29;6.0;1.0;1.0;Negative Attitude;10003.0;Nidalee;0
1189;garen you go solo top and no help team 4vs5;offender;00:44:34;6.0;1.0;1.0;Negative Attitude;10003.0;Katarina;0
1190;they live;enemy;00:44:37;6.0;1.0;1.0;Negative Attitude;10003.0;Nidalee;0
1191;and you feed much;ally;00:44:45;6.0;1.0;1.0;Negative Attitude;10003.0;Garen;1
1192;they have baron;ally;00:44:46;6.0;1.0;1.0;Negative Attitude;10003.0;Udyr;0
1193;reported and writed;ally;00:45:12;6.0;1.0;1.0;Negative Attitude;10003.0;Garen;0
1194;they have baron , you have varus;ally;00:45:12;6.0;1.0;1.0;Negative Attitude;10003.0;Varus;0
1195;look udyr;offender;00:45:21;6.0;1.0;1.0;Negative Attitude;10003.0;Katarina;0
1196;and?++;ally;00:45:27;6.0;1.0;1.0;Negative Attitude;10003.0;Garen;0
1197;pls report kata for flame and feed;ally;00:45:31;6.0;1.0;1.0;Negative Attitude;10003.0;Udyr;0
1198;all mid fast win;enemy;00:45:36;6.0;1.0;1.0;Negative Attitude;10003.0;Nidalee;0
1199;you feed more;ally;00:45:36;6.0;1.0;1.0;Negative Attitude;10003.0;Garen;0
1200;lol ok;offender;00:45:44;6.0;1.0;1.0;Negative Attitude;10003.0;Katarina;0
1201;..;ally;00:46:37;6.0;1.0;1.0;Negative Attitude;10003.0;Garen;0
1202;gj garen!!!;enemy;00:46:44;6.0;1.0;1.0;Negative Attitude;10003.0;Amumu;0
1203;duck;enemy;00:46:45;6.0;1.0;1.0;Negative Attitude;10003.0;Nidalee;0
1204;putin tes tro nul riven tu ks bien;offender;00:46:46;6;1;1;Negative Attitude;10003;Katarina;2
1205;riven you have high dmg soo puch top lane a hell mutch you can sister;enemy;00:47:18;6.0;1.0;1.0;Negative Attitude;10003.0;Nidalee;0
1206;on les laisse venir , pour les tuer at poussÌ© aprÌ¬s , ok ???;ally;00:47:28;6;1;1;Negative Attitude;10003;Varus;2
1207;def;offender;00:47:30;6.0;1.0;1.0;Negative Attitude;10003.0;Katarina;0
1208;!!!;offender;00:47:31;6.0;1.0;1.0;Negative Attitude;10003.0;Katarina;0
1209;omg noob udyr;offender;00:47:34;6.0;1.0;1.0;Negative Attitude;10003.0;Katarina;1
1210;kata noob;ally;00:47:50;6.0;1.0;1.0;Negative Attitude;10003.0;Garen;1
1211;fail;enemy;00:48:16;6.0;1.0;1.0;Negative Attitude;10003.0;Lux;0
1212;end;ally;00:48:18;6.0;1.0;1.0;Negative Attitude;10003.0;Garen;0
1213;yep :p;enemy;00:48:21;6.0;1.0;1.0;Negative Attitude;10003.0;Ashe;0
1214;GG wp;enemy;00:48:42;6.0;1.0;1.0;Negative Attitude;10003.0;Nidalee;0
1215;defend pls;enemy;00:48:50;6.0;1.0;1.0;Negative Attitude;10003.0;Ashe;0
1216;lost;enemy;00:48:55;6.0;1.0;1.0;Negative Attitude;10003.0;Ashe;0
1217;ks;ally;00:48:59;6.0;1.0;1.0;Negative Attitude;10003.0;Garen;0
1218;gg;ally;00:49:00;6.0;1.0;1.0;Negative Attitude;10003.0;Udyr;0
1219;gg;offender;00:49:01;6.0;1.0;1.0;Negative Attitude;10003.0;Katarina;0
1220;GG wp bg;enemy;00:49:01;6.0;1.0;1.0;Negative Attitude;10003.0;Nidalee;0
1221;noob;ally;00:49:01;6.0;1.0;1.0;Negative Attitude;10003.0;Garen;1
1222;shut up;offender;00:49:02;6.0;1.0;1.0;Negative Attitude;10003.0;Katarina;0
1223;report teemo pls;ally;00:00:26;9.0;3.0;0.0;Offensive Language;10004.0;Miss Fortune;0
1224;?;enemy;00:00:32;9.0;3.0;0.0;Offensive Language;10004.0;Xerath;0
1225;lol;ally;00:00:45;9.0;3.0;0.0;Offensive Language;10004.0;Riven;0
1226;instalock;ally;00:00:46;9.0;3.0;0.0;Offensive Language;10004.0;Miss Fortune;0
1227;hahahahha wtf;ally;00:00:50;9.0;3.0;0.0;Offensive Language;10004.0;Riven;0
1228;not rly;offender;00:00:50;9.0;3.0;0.0;Offensive Language;10004.0;Teemo;0
1229;that mf troll ^^ funny guy;ally;00:01:00;9.0;3.0;0.0;Offensive Language;10004.0;Riven;0
1230;troll?;ally;00:01:05;9.0;3.0;0.0;Offensive Language;10004.0;Miss Fortune;0
1231;haha let them fmale;offender;00:01:06;9.0;3.0;0.0;Offensive Language;10004.0;Teemo;0
1232;rly?;ally;00:01:08;9.0;3.0;0.0;Offensive Language;10004.0;Miss Fortune;0
1233;lol;ally;00:01:15;9.0;3.0;0.0;Offensive Language;10004.0;Riven;0
1234;ty;enemy;00:02:11;9.0;3.0;0.0;Offensive Language;10004.0;Lee Sin;0
1235;seems to be warded;enemy;00:06:46;9.0;3.0;0.0;Offensive Language;10004.0;Lee Sin;0
1236;that skill;ally;00:07:03;9.0;3.0;0.0;Offensive Language;10004.0;Riven;0
1237;ty;enemy;00:08:22;9.0;3.0;0.0;Offensive Language;10004.0;Xerath;0
1238;ss top;ally;00:08:27;9.0;3.0;0.0;Offensive Language;10004.0;Nocturne;0
1239;no jungler;offender;00:08:42;9.0;3.0;0.0;Offensive Language;10004.0;Teemo;0
1240;we have no jungler;offender;00:09:21;9.0;3.0;0.0;Offensive Language;10004.0;Teemo;0
1241;this noc -.-;ally;00:09:25;9.0;3.0;0.0;Offensive Language;10004.0;Riven;0
1242;we have no bot;enemy;00:09:33;9.0;3.0;0.0;Offensive Language;10004.0;Riven;0
1243;true;offender;00:09:44;9.0;3.0;0.0;Offensive Language;10004.0;Teemo;0
1244;me too;enemy;00:09:56;9.0;3.0;0.0;Offensive Language;10004.0;Riven;0
1245;but the do 1 kill and my jugnel just flames;offender;00:09:58;9.0;3.0;0.0;Offensive Language;10004.0;Teemo;0
1246;gtfo;ally;00:10:07;9.0;3.0;0.0;Offensive Language;10004.0;Riven;1
1247;junsgle;ally;00:10:10;9.0;3.0;0.0;Offensive Language;10004.0;Riven;0
1248;we havent mid and top;ally;00:10:11;9.0;3.0;0.0;Offensive Language;10004.0;Miss Fortune;0
1249;Err:511;ally;00:10:13;9.0;3.0;0.0;Offensive Language;10004.0;Miss Fortune;0
1250;i dont flame bot but they troll;enemy;00:10:15;9.0;3.0;0.0;Offensive Language;10004.0;Riven;0
1251;Nice try;enemy;00:11:19;9.0;3.0;0.0;Offensive Language;10004.0;Xerath;0
1252;gj lee;enemy;00:11:26;9.0;3.0;0.0;Offensive Language;10004.0;Xerath;0
1253;nice dodge;enemy;00:11:29;9.0;3.0;0.0;Offensive Language;10004.0;Xerath;0
1254;ty;enemy;00:11:35;9.0;3.0;0.0;Offensive Language;10004.0;Lee Sin;0
1255;luck more pls;offender;00:11:38;9.0;3.0;0.0;Offensive Language;10004.0;Teemo;0
1256;pls;offender;00:11:41;9.0;3.0;0.0;Offensive Language;10004.0;Teemo;0
1257;ok next time bro 1 hp;enemy;00:11:58;9.0;3.0;0.0;Offensive Language;10004.0;Riven;0
1258;i know;offender;00:12:06;9.0;3.0;0.0;Offensive Language;10004.0;Teemo;0
1259;but can you report nocturne pls ?;offender;00:12:16;9.0;3.0;0.0;Offensive Language;10004.0;Teemo;0
1260;for?;ally;00:12:46;9.0;3.0;0.0;Offensive Language;10004.0;Miss Fortune;0
1261;Why babysit ?;enemy;00:13:00;9.0;3.0;0.0;Offensive Language;10004.0;Xerath;0
1262;seriously ?;ally;00:13:01;9.0;3.0;0.0;Offensive Language;10004.0;Riven;0
1263;yes;ally;00:13:05;9.0;3.0;0.0;Offensive Language;10004.0;Nocturne;0
1264;6 gank;enemy;00:13:07;9.0;3.0;0.0;Offensive Language;10004.0;Xerath;0
1265;Riven so noob ?;enemy;00:13:11;9.0;3.0;0.0;Offensive Language;10004.0;Xerath;1
1266;because top useless;ally;00:13:17;9.0;3.0;0.0;Offensive Language;10004.0;Miss Fortune;0
1267;Y;ally;00:13:18;9.0;3.0;0.0;Offensive Language;10004.0;Nocturne;0
1268;bot own;ally;00:13:21;9.0;3.0;0.0;Offensive Language;10004.0;Miss Fortune;0
1269;omg lee;enemy;00:13:28;9.0;3.0;0.0;Offensive Language;10004.0;Xerath;0
1270;damn;enemy;00:13:28;9.0;3.0;0.0;Offensive Language;10004.0;Lee Sin;0
1271;i coudnt cast q;enemy;00:13:38;9.0;3.0;0.0;Offensive Language;10004.0;Lee Sin;0
1272;that ult noc gg wp;ally;00:14:40;9.0;3.0;0.0;Offensive Language;10004.0;Riven;0
1273;Noob;enemy;00:14:43;9.0;3.0;0.0;Offensive Language;10004.0;Xerath;1
1274;this noc is so useless ^^;ally;00:14:52;9.0;3.0;0.0;Offensive Language;10004.0;Riven;1
1275;You Ì©ï¿½;enemy;00:14:57;9;3;0;Offensive Language;10004;Xerath;2
1276;You 2*;enemy;00:15:00;9;3;0;Offensive Language;10004;Xerath;2
1277;hahahhahahah for sure;ally;00:15:21;9.0;3.0;0.0;Offensive Language;10004.0;Riven;0
1278;^^;ally;00:15:22;9.0;3.0;0.0;Offensive Language;10004.0;Riven;0
1279;gj ^^;ally;00:16:14;9.0;3.0;0.0;Offensive Language;10004.0;Riven;0
1280;omg lle noob;enemy;00:16:17;9.0;3.0;0.0;Offensive Language;10004.0;Xerath;1
1281;i ping you;enemy;00:16:19;9.0;3.0;0.0;Offensive Language;10004.0;Xerath;0
1282;NOW YOU ARE YRE COMING;offender;00:16:19;9.0;3.0;0.0;Offensive Language;10004.0;Teemo;0
1283;this noc ^^;ally;00:16:30;9.0;3.0;0.0;Offensive Language;10004.0;Riven;0
1284;why dindt you attak? you got so much range;enemy;00:16:33;9.0;3.0;0.0;Offensive Language;10004.0;Lee Sin;0
1285;still just stand in bush;enemy;00:16:41;9.0;3.0;0.0;Offensive Language;10004.0;Lee Sin;0
1286;riven;ally;00:18:06;9.0;3.0;0.0;Offensive Language;10004.0;Riven;0
1287;useless =;ally;00:20:28;9.0;3.0;0.0;Offensive Language;10004.0;Riven;1
1288;you;enemy;00:20:34;9.0;3.0;0.0;Offensive Language;10004.0;Riven;0
1289;y for sure hahah;ally;00:20:40;9.0;3.0;0.0;Offensive Language;10004.0;Riven;0
1290;yeah;enemy;00:20:47;9.0;3.0;0.0;Offensive Language;10004.0;Riven;0
1291;nice feed mf bot;enemy;00:20:59;9.0;3.0;0.0;Offensive Language;10004.0;Xerath;0
1292;"&lt;3";ally;00:20:59;9;3;0;Offensive Language;10004;Riven;2
1293;report our troll bot and i report your troll;enemy;00:21:16;9.0;3.0;0.0;Offensive Language;10004.0;Riven;1
1294;i died 2 times on bot;enemy;00:21:16;9.0;3.0;0.0;Offensive Language;10004.0;Orianna;0
1295;you could come and help;enemy;00:21:16;9.0;3.0;0.0;Offensive Language;10004.0;Leona;0
1296;and got 2 kills;enemy;00:21:20;9.0;3.0;0.0;Offensive Language;10004.0;Orianna;0
1297;go bot;enemy;00:21:33;9.0;3.0;0.0;Offensive Language;10004.0;Xerath;0
1298;no mid;enemy;00:21:34;9.0;3.0;0.0;Offensive Language;10004.0;Xerath;0
1299;noob;enemy;00:21:35;9.0;3.0;0.0;Offensive Language;10004.0;Xerath;1
1300;ahaha;enemy;00:21:39;9.0;3.0;0.0;Offensive Language;10004.0;Orianna;0
1301;no;enemy;00:21:40;9.0;3.0;0.0;Offensive Language;10004.0;Orianna;0
1302;22 min;enemy;00:21:40;9.0;3.0;0.0;Offensive Language;10004.0;Leona;0
1303;ward;ally;00:22:36;9.0;3.0;0.0;Offensive Language;10004.0;Riven;0
1304;nice :D;ally;00:23:21;9.0;3.0;0.0;Offensive Language;10004.0;Riven;0
1305;4 bot;enemy;00:23:26;9.0;3.0;0.0;Offensive Language;10004.0;Leona;0
1306;and no reaction;enemy;00:23:32;9.0;3.0;0.0;Offensive Language;10004.0;Orianna;0
1307;you can see;enemy;00:23:33;9.0;3.0;0.0;Offensive Language;10004.0;Riven;0
1308;at all;enemy;00:23:33;9.0;3.0;0.0;Offensive Language;10004.0;Orianna;0
1309;and u?;enemy;00:23:39;9.0;3.0;0.0;Offensive Language;10004.0;Orianna;0
1310;LOL more items then riven;ally;00:23:46;9.0;3.0;0.0;Offensive Language;10004.0;Riven;0
1311;BARON ATTACKED ME Ã¯Â¿Â½Ã¯Â¿Â½1;offender;00:26:29;9.0;3.0;0.0;Offensive Language;10004.0;Teemo;0
1312;gj;enemy;00:26:40;9.0;3.0;0.0;Offensive Language;10004.0;Riven;0
1313;again;enemy;00:26:41;9.0;3.0;0.0;Offensive Language;10004.0;Riven;0
1314;are you blind?;enemy;00:28:33;9.0;3.0;0.0;Offensive Language;10004.0;Leona;1
1315;yes, no wards from our sup;enemy;00:28:47;9.0;3.0;0.0;Offensive Language;10004.0;Lee Sin;0
1316;no wards?;enemy;00:28:53;9.0;3.0;0.0;Offensive Language;10004.0;Leona;0
1317;ffs;enemy;00:28:54;9.0;3.0;0.0;Offensive Language;10004.0;Leona;0
1318;pfff;enemy;00:29:11;9.0;3.0;0.0;Offensive Language;10004.0;Riven;0
1319;XDDDDDD;enemy;00:30:19;9.0;3.0;0.0;Offensive Language;10004.0;Riven;0
1320;report that epic noob player;enemy;00:30:25;9.0;3.0;0.0;Offensive Language;10004.0;Riven;1
1321;y;enemy;00:30:31;9.0;3.0;0.0;Offensive Language;10004.0;Xerath;0
1322;i will report u;enemy;00:30:36;9.0;3.0;0.0;Offensive Language;10004.0;Orianna;0
1323;for flame;enemy;00:30:38;9.0;3.0;0.0;Offensive Language;10004.0;Orianna;0
1324;why you play at lol;enemy;00:30:42;9.0;3.0;0.0;Offensive Language;10004.0;Riven;0
1325;seriously;enemy;00:30:47;9.0;3.0;0.0;Offensive Language;10004.0;Riven;0
1326;xerath you've not better score;enemy;00:30:50;9.0;3.0;0.0;Offensive Language;10004.0;Leona;0
1327;go play tetris;enemy;00:30:53;9.0;3.0;0.0;Offensive Language;10004.0;Riven;1
1328;riven you cant even teamfight;enemy;00:30:58;9.0;3.0;0.0;Offensive Language;10004.0;Leona;0
1329;i play adc oriana;enemy;00:31:00;9.0;3.0;0.0;Offensive Language;10004.0;Orianna;0
1330;if i didnt notice;enemy;00:31:04;9.0;3.0;0.0;Offensive Language;10004.0;Orianna;0
1331;so?;enemy;00:31:52;9.0;3.0;0.0;Offensive Language;10004.0;Orianna;0
1332;so fed;enemy;00:31:56;9.0;3.0;0.0;Offensive Language;10004.0;Riven;0
1333;should i report u now?;enemy;00:31:57;9.0;3.0;0.0;Offensive Language;10004.0;Orianna;0
1334;1v5;enemy;00:32:01;9.0;3.0;0.0;Offensive Language;10004.0;Leona;0
1335;useless ?;ally;00:32:02;9.0;3.0;0.0;Offensive Language;10004.0;Riven;0
1336;really fen;enemy;00:32:05;9.0;3.0;0.0;Offensive Language;10004.0;Leona;0
1337;you feed them;enemy;00:32:06;9.0;3.0;0.0;Offensive Language;10004.0;Riven;1
1338;Y;enemy;00:32:06;9.0;3.0;0.0;Offensive Language;10004.0;Xerath;0
1339;You ks;enemy;00:32:10;9.0;3.0;0.0;Offensive Language;10004.0;Xerath;0
1340;look score and say who is useless riven;enemy;00:32:21;9.0;3.0;0.0;Offensive Language;10004.0;Riven;1
1341;HAHAHHAHAHAHA;ally;00:32:31;9.0;3.0;0.0;Offensive Language;10004.0;Riven;0
1342;hahah that low elo play ...;ally;00:32:39;9.0;3.0;0.0;Offensive Language;10004.0;Riven;0
1343;"riven your score says that ""my team have only assists""";enemy;00:32:41;9.0;3.0;0.0;Offensive Language;10004.0;Leona;0
1344;we play 2vs5;enemy;00:32:45;9.0;3.0;0.0;Offensive Language;10004.0;Riven;0
1345;if u cant carry as riven if u are feed so hard hahhah;ally;00:32:51;9.0;3.0;0.0;Offensive Language;10004.0;Riven;1
1346;i dont even got riven :D;ally;00:32:57;9.0;3.0;0.0;Offensive Language;10004.0;Riven;0
1347;we play 3 vs5(i lux and noc;ally;00:33:25;9.0;3.0;0.0;Offensive Language;10004.0;Miss Fortune;0
1348;i cant win 1vs5 sorry for that;enemy;00:33:28;9.0;3.0;0.0;Offensive Language;10004.0;Riven;0
1349;how much gold i give ?;offender;00:33:28;9.0;3.0;0.0;Offensive Language;10004.0;Teemo;0
1350;best joke euw;ally;00:33:39;9.0;3.0;0.0;Offensive Language;10004.0;Riven;0
1351;Riven ?;enemy;00:33:44;9.0;3.0;0.0;Offensive Language;10004.0;Xerath;0
1352;50 gold ?;offender;00:33:45;9.0;3.0;0.0;Offensive Language;10004.0;Teemo;0
1353;"HAHAH and that is a ""high elo player";ally;00:33:52;9.0;3.0;0.0;Offensive Language;10004.0;Riven;1
1354;more than our bot lane;enemy;00:33:55;9.0;3.0;0.0;Offensive Language;10004.0;Riven;0
1355;my bot troll hard and feed like hell so...;enemy;00:34:23;9.0;3.0;0.0;Offensive Language;10004.0;Riven;1
1356;haha omg;ally;00:34:32;9.0;3.0;0.0;Offensive Language;10004.0;Riven;0
1357;dont say you are good because you get carried by a feeded mf;enemy;00:34:40;9.0;3.0;0.0;Offensive Language;10004.0;Riven;1
1358;oh god riven;enemy;00:35:01;9.0;3.0;0.0;Offensive Language;10004.0;Leona;0
1359;that low elo excuse;ally;00:35:04;9.0;3.0;0.0;Offensive Language;10004.0;Riven;0
1360;^^;ally;00:35:08;9.0;3.0;0.0;Offensive Language;10004.0;Riven;0
1361;you flame as girl;enemy;00:35:12;9.0;3.0;0.0;Offensive Language;10004.0;Leona;1
1362;yers yes;enemy;00:35:13;9.0;3.0;0.0;Offensive Language;10004.0;Riven;0
1363;have our bot on your team and you'll say other thing;enemy;00:35:26;9.0;3.0;0.0;Offensive Language;10004.0;Riven;1
1364;in normal;enemy;00:35:26;9.0;3.0;0.0;Offensive Language;10004.0;Leona;0
1365;im relax about games;enemy;00:35:35;9.0;3.0;0.0;Offensive Language;10004.0;Leona;0
